cluster_id,top5_crimes,bottom5_crimes
140,"[('MURDER', 0.16276477146042365), ('ASSAULT', 0.12709030100334448), ('SNATCHING', 0.11817168338907469), ('GANG_VIOLENCE', 0.11259754738015608), ('ROBBERY', 0.09921962095875139)]","[('Drug Possession', 0.055741360089186176), ('Kidnapping', 0.05128205128205128), ('Political Violence', 0.05016722408026756), ('Extortion', 0.05016722408026756), ('Land Grabbing', 0.045707915273132664)]"
141,"[('MURDER', 0.18248175182481752), ('ASSAULT', 0.12043795620437957), ('GANG_VIOLENCE', 0.11131386861313869), ('SNATCHING', 0.11131386861313869), ('ROBBERY', 0.0948905109489051)]","[('Kidnapping', 0.05656934306569343), ('Land Grabbing', 0.05474452554744526), ('THEFT', 0.051094890510948905), ('Industrial Hazards', 0.04562043795620438), ('Political Violence', 0.040145985401459854)]"
142,"[('ROBBERY', 0.3897787948131198), ('MURDER', 0.38596491228070173), ('SNATCHING', 0.041952707856598014), ('GANG_VIOLENCE', 0.028985507246376812), ('ASSAULT', 0.028985507246376812)]","[('Drug Possession', 0.016781083142639208), ('Industrial Hazards', 0.016781083142639208), ('Kidnapping', 0.016018306636155607), ('Extortion', 0.013729977116704805), ('THEFT', 0.012967200610221205)]"
143,"[('MURDER', 0.17105263157894737), ('GANG_VIOLENCE', 0.12280701754385964), ('ROBBERY', 0.11842105263157894), ('ASSAULT', 0.10087719298245613), ('Political Violence', 0.07456140350877193)]","[('SNATCHING', 0.06578947368421052), ('THEFT', 0.06140350877192982), ('Kidnapping', 0.05263157894736842), ('Drug Possession', 0.04824561403508772), ('Extortion', 0.039473684210526314)]"
144,"[('ASSAULT', 0.3806287170773152), ('GUN_VIOLENCE', 0.3517417162276975), ('MURDER', 0.04333050127442651), ('SNATCHING', 0.03908241291418862), ('GANG_VIOLENCE', 0.03653355989804588)]","[('Kidnapping', 0.016992353440951572), ('Political Violence', 0.016142735768903994), ('Extortion', 0.016142735768903994), ('Land Grabbing', 0.015293118096856415), ('Drug Possession', 0.0118946474086661)]"
145,"[('MURDER', 0.1509433962264151), ('SNATCHING', 0.12578616352201258), ('ASSAULT', 0.12368972746331237), ('ROBBERY', 0.11949685534591195), ('GANG_VIOLENCE', 0.10272536687631027)]","[('Drug Possession', 0.0649895178197065), ('Industrial Hazards', 0.05660377358490566), ('Kidnapping', 0.04821802935010482), ('Extortion', 0.039832285115303984), ('Political Violence', 0.031446540880503145)]"
146,"[('MURDER', 0.12719298245614036), ('GANG_VIOLENCE', 0.12280701754385964), ('SNATCHING', 0.11403508771929824), ('ROBBERY', 0.09210526315789473), ('Kidnapping', 0.08771929824561403)]","[('Land Grabbing', 0.07894736842105263), ('Industrial Hazards', 0.06140350877192982), ('Extortion', 0.05701754385964912), ('ASSAULT', 0.05263157894736842), ('Drug Possession', 0.039473684210526314)]"
147,"[('ROBBERY', 0.12389380530973451), ('SNATCHING', 0.11946902654867257), ('GANG_VIOLENCE', 0.1084070796460177), ('MURDER', 0.10619469026548672), ('Industrial Hazards', 0.09292035398230089)]","[('Land Grabbing', 0.06637168141592921), ('Political Violence', 0.06415929203539823), ('Extortion', 0.059734513274336286), ('ASSAULT', 0.05752212389380531), ('THEFT', 0.05309734513274336)]"
148,"[('MURDER', 0.746588693957115), ('ROBBERY', 0.038011695906432746), ('ASSAULT', 0.03313840155945419), ('SNATCHING', 0.029239766081871343), ('GANG_VIOLENCE', 0.024366471734892786)]","[('Drug Possession', 0.01949317738791423), ('Extortion', 0.01949317738791423), ('Political Violence', 0.017543859649122806), ('Industrial Hazards', 0.014619883040935672), ('Land Grabbing', 0.012670565302144249)]"
149,"[('ROBBERY', 0.1513859275053305), ('SNATCHING', 0.14072494669509594), ('MURDER', 0.13859275053304904), ('GANG_VIOLENCE', 0.10874200426439233), ('Extortion', 0.06609808102345416)]","[('Kidnapping', 0.05970149253731343), ('Political Violence', 0.057569296375266525), ('THEFT', 0.057569296375266525), ('Land Grabbing', 0.05543710021321962), ('ASSAULT', 0.03624733475479744)]"
150,"[('MURDER', 0.14107142857142857), ('SNATCHING', 0.1392857142857143), ('GANG_VIOLENCE', 0.12142857142857143), ('THEFT', 0.12142857142857143), ('Land Grabbing', 0.07678571428571429)]","[('Political Violence', 0.05714285714285714), ('Extortion', 0.05714285714285714), ('ROBBERY', 0.055357142857142855), ('ASSAULT', 0.05), ('Kidnapping', 0.04285714285714286)]"
151,"[('MURDER', 0.16137744767049292), ('GANG_VIOLENCE', 0.12356515867656989), ('THEFT', 0.12018906144496962), ('SNATCHING', 0.10465901417960838), ('Industrial Hazards', 0.06650911546252532)]","[('ROBBERY', 0.06279540850776502), ('ASSAULT', 0.05975692099932478), ('Political Violence', 0.05941931127616475), ('Extortion', 0.059081701553004726), ('Drug Possession', 0.05671843349088454)]"
152,"[('MURDER', 0.18099547511312217), ('THEFT', 0.11764705882352941), ('GANG_VIOLENCE', 0.11764705882352941), ('SNATCHING', 0.09954751131221719), ('Extortion', 0.0746606334841629)]","[('Kidnapping', 0.06561085972850679), ('Political Violence', 0.06334841628959276), ('Land Grabbing', 0.05429864253393665), ('ROBBERY', 0.04751131221719457), ('Drug Possession', 0.04072398190045249)]"
153,"[('MURDER', 0.13284132841328414), ('ROBBERY', 0.12177121771217712), ('GANG_VIOLENCE', 0.11623616236162361), ('SNATCHING', 0.09778597785977859), ('THEFT', 0.08487084870848709)]","[('Drug Possession', 0.06457564575645756), ('Kidnapping', 0.06273062730627306), ('Land Grabbing', 0.05719557195571956), ('Extortion', 0.05719557195571956), ('Industrial Hazards', 0.05166051660516605)]"
154,"[('SNATCHING', 0.13680154142581888), ('ROBBERY', 0.12716763005780346), ('GANG_VIOLENCE', 0.12138728323699421), ('MURDER', 0.10982658959537572), ('Extortion', 0.06936416184971098)]","[('ASSAULT', 0.0674373795761079), ('Industrial Hazards', 0.06551059730250482), ('THEFT', 0.06165703275529865), ('Kidnapping', 0.057803468208092484), ('Drug Possession', 0.04816955684007707)]"
155,"[('ASSAULT', 0.3747390396659708), ('Land Grabbing', 0.37160751565762007), ('ROBBERY', 0.03653444676409186), ('GANG_VIOLENCE', 0.03653444676409186), ('SNATCHING', 0.03549060542797495)]","[('Drug Possession', 0.024008350730688934), ('Political Violence', 0.019832985386221295), ('Kidnapping', 0.018789144050104383), ('Industrial Hazards', 0.014613778705636743), ('THEFT', 0.013569937369519834)]"
156,"[('GANG_VIOLENCE', 0.5006811989100818), ('MURDER', 0.07220708446866485), ('SNATCHING', 0.06471389645776567), ('Land Grabbing', 0.06198910081743869), ('Drug Possession', 0.060626702997275204)]","[('Extortion', 0.0326975476839237), ('Political Violence', 0.031335149863760216), ('Industrial Hazards', 0.030653950953678476), ('ASSAULT', 0.02656675749318801), ('THEFT', 0.02656675749318801)]"
157,"[('GANG_VIOLENCE', 0.12939841089670828), ('MURDER', 0.12031782065834279), ('SNATCHING', 0.11691259931895573), ('ROBBERY', 0.11577752553916004), ('Drug Possession', 0.11350737797956867)]","[('Industrial Hazards', 0.05221339387060159), ('Kidnapping', 0.0510783200908059), ('ASSAULT', 0.04767309875141884), ('Extortion', 0.04540295119182747), ('Political Violence', 0.04426787741203178)]"
158,"[('Land Grabbing', 0.14453125), ('Drug Possession', 0.12109375), ('GANG_VIOLENCE', 0.119140625), ('SNATCHING', 0.099609375), ('ROBBERY', 0.09765625)]","[('Political Violence', 0.05859375), ('Industrial Hazards', 0.0546875), ('Extortion', 0.048828125), ('ASSAULT', 0.048828125), ('Kidnapping', 0.044921875)]"
159,"[('GANG_VIOLENCE', 0.1255539143279173), ('MURDER', 0.11964549483013294), ('THEFT', 0.1137370753323486), ('Land Grabbing', 0.10930576070901034), ('ROBBERY', 0.10930576070901034)]","[('Kidnapping', 0.059084194977843424), ('SNATCHING', 0.05760709010339734), ('Political Violence', 0.05760709010339734), ('Industrial Hazards', 0.05465288035450517), ('Drug Possession', 0.04579025110782865)]"
